datetime_utc,time_utc,session_start_ms,session_end_ms,total_scans,total_opportunities,profitable_count,executable_count,theoretical_pnl_usd,executable_pnl_usd,avg_net_bps,best_trade_usd,worst_trade_usd

2026-05-20 16:54:31.792,16:54:57.597,1779296071792,1779296097597,7,0,0,0,0.0000,0.0000,0.00,0.0000,0.0000
2026-05-20 17:08:42.734,17:08:53.197,1779296922734,1779296933197,0,0,0,0,0.0000,0.0000,0.00,0.0000,0.0000
2026-05-20 22:35:17.341,22:36:04.457,1779316517341,1779316564457,9,0,0,0,0.0000,0.0000,0.00,0.0000,0.0000
2026-05-20 23:17:46.589,23:33:22.477,1779319066589,1779320002477,261,0,0,0,0.0000,0.0000,0.00,0.0000,0.0000
2026-05-21 04:27:55.652,04:28:11.058,1779337675652,1779337691058,3,0,0,0,0.0000,0.0000,0.00,0.0000,0.0000
